timestamp,speed_kph
0.00,0.000000
0.01,0.000000
0.02,0.000000
0.03,0.000000
0.04,0.000000
0.05,0.000000
0.06,0.000000
0.07,0.000000
0.08,0.000000
0.09,0.000000
0.10,0.000000
0.11,0.000000
0.12,0.000000
0.13,0.000000
0.14,0.000000
0.15,0.000000
0.16,0.000000
0.17,0.000000
0.18,0.000000
0.19,0.000000
0.20,0.000000
0.21,0.000000
0.22,0.000000
0.23,0.000000
0.24,0.000000
0.25,0.000000
0.26,0.000000
0.27,0.000000
0.28,0.000000
0.29,0.000000
0.30,0.000000
0.31,0.000000
0.32,0.000000
0.33,0.000000
0.34,0.000000
0.35,0.000000
0.36,0.000000
0.37,0.000000
0.38,0.000000
0.39,0.000000
0.40,0.000000
0.41,0.000000
0.42,0.000000
0.43,0.000000
0.44,0.000000
0.45,0.000000
0.46,0.000000
0.47,0.000000
0.48,0.000000
0.49,0.000000
0.50,0.000000
0.51,0.000000
0.52,0.000000
0.53,0.000000
0.54,0.000000
0.55,0.000000
0.56,0.000000
0.57,0.000000
0.58,0.000000
0.59,0.000000
0.60,0.000000
0.61,0.000000
0.62,0.000000
0.63,0.000000
0.64,0.000000
0.65,0.000000
0.66,0.000000
0.67,0.000000
0.68,0.000000
0.69,0.000000
0.70,0.000000
0.71,0.000000
0.72,0.000000
0.73,0.000000
0.74,0.000000
0.75,0.000000
0.76,0.000000
0.77,0.000000
0.78,0.000000
0.79,0.000000
0.80,0.000000
0.81,0.000000
0.82,0.000000
0.83,0.000000
0.84,0.000000
0.85,0.000000
0.86,0.000000
0.87,0.000000
0.88,0.000000
0.89,0.000000
0.90,0.000000
0.91,0.000000
0.92,0.000000
0.93,0.000000
0.94,0.000000
0.95,0.000000
0.96,0.000000
0.97,0.000000
0.98,0.000000
0.99,0.000000
1.00,0.000000
1.01,0.000000
1.02,0.000000
1.03,0.000000
1.04,0.000000
1.05,0.000000
1.06,0.000000
1.07,0.000000
1.08,0.000000
1.09,0.000000
1.10,0.000000
1.11,0.000000
1.12,0.000000
1.13,0.000000
1.14,0.000000
1.15,0.000000
1.16,0.000000
1.17,0.000000
1.18,0.000000
1.19,0.000000
1.20,0.000000
1.21,0.000000
1.22,0.000000
1.23,0.000000
1.24,0.000000
1.25,0.000000
1.26,0.000000
1.27,0.000000
1.28,0.000000
1.29,0.000000
1.30,0.000000
1.31,0.000000
1.32,0.000000
1.33,0.000000
1.34,0.000000
1.35,0.000000
1.36,0.000000
1.37,0.000000
1.38,0.000000
1.39,0.000000
1.40,0.000000
1.41,0.000000
1.42,0.000000
1.43,0.000000
1.44,0.000000
1.45,0.000000
1.46,0.000000
1.47,0.000000
1.48,0.000000
1.49,0.000000
1.50,0.000000
1.51,0.000000
1.52,0.000000
1.53,0.000000
1.54,0.000000
1.55,0.000000
1.56,0.000000
1.57,0.000000
1.58,0.000000
1.59,0.000000
1.60,0.000000
1.61,0.000000
1.62,0.000000
1.63,0.000000
1.64,0.000000
1.65,0.000000
1.66,0.000000
1.67,0.000000
1.68,0.000000
1.69,0.000000
1.70,0.000000
1.71,0.000000
1.72,0.000000
1.73,0.000000
1.74,0.000000
1.75,0.000000
1.76,0.000000
1.77,0.000000
1.78,0.000000
1.79,0.000000
1.80,0.000000
1.81,0.000000
1.82,0.000000
1.83,0.000000
1.84,0.000000
1.85,0.000000
1.86,0.000000
1.87,0.000000
1.88,0.000000
1.89,0.000000
1.90,0.000000
1.91,0.000000
1.92,0.000000
1.93,0.000000
1.94,0.000000
1.95,0.000000
1.96,0.000000
1.97,0.000000
1.98,0.000000
1.99,0.000000
2.00,0.000000
2.01,0.000000
2.02,0.000000
2.03,0.000000
2.04,0.000000
2.05,0.000000
2.06,0.000000
2.07,0.000000
2.08,0.000000
2.09,0.000000
2.10,0.000000
2.11,0.000000
2.12,0.000000
2.13,0.000000
2.14,0.000000
2.15,0.000000
2.16,0.000000
2.17,0.000000
2.18,0.000000
2.19,0.000000
2.20,0.000000
2.21,0.000000
2.22,0.000000
2.23,0.000000
2.24,0.000000
2.25,0.000000
2.26,0.000000
2.27,0.000000
2.28,0.000000
2.29,0.000000
2.30,0.000000
2.31,0.000000
2.32,0.000000
2.33,0.000000
2.34,0.000000
2.35,0.000000
2.36,0.000000
2.37,0.000000
2.38,0.000000
2.39,0.000000
2.40,0.000000
2.41,0.000000
2.42,0.000000
2.43,0.000000
2.44,0.000000
2.45,0.000000
2.46,0.000000
2.47,0.000000
2.48,0.000000
2.49,0.000000
2.50,0.000000
2.51,0.000000
2.52,0.000000
2.53,0.000000
2.54,0.000000
2.55,0.000000
2.56,0.000000
2.57,0.000000
2.58,0.000000
2.59,0.000000
2.60,0.000000
2.61,0.000000
2.62,0.000000
2.63,0.000000
2.64,0.000000
2.65,0.000000
2.66,0.000000
2.67,0.000000
2.68,0.000000
2.69,0.000000
2.70,0.000000
2.71,0.000000
2.72,0.000000
2.73,0.000000
2.74,0.000000
2.75,0.000000
2.76,0.000000
2.77,0.000000
2.78,0.000000
2.79,0.000000
2.80,0.000000
2.81,0.000000
2.82,0.000000
2.83,0.000000
2.84,0.000000
2.85,0.000000
2.86,0.000000
2.87,0.000000
2.88,0.000000
2.89,0.000000
2.90,0.000000
2.91,0.000000
2.92,0.000000
2.93,0.000000
2.94,0.000000
2.95,0.000000
2.96,0.000000
2.97,0.000000
2.98,0.000000
2.99,0.000000
3.00,0.000000
3.01,0.065880
3.02,0.131760
3.03,0.197640
3.04,0.263520
3.05,0.329399
3.06,0.395279
3.07,0.461158
3.08,0.527037
3.09,0.592916
3.10,0.658795
3.11,0.724673
3.12,0.790551
3.13,0.856428
3.14,0.922305
3.15,0.988182
3.16,1.054058
3.17,1.119933
3.18,1.185808
3.19,1.251682
3.20,1.317555
3.21,1.383428
3.22,1.449300
3.23,1.515171
3.24,1.581042
3.25,1.646911
3.26,1.712780
3.27,1.778648
3.28,1.844515
3.29,1.910381
3.30,1.976245
3.31,2.042109
3.32,2.107972
3.33,2.173833
3.34,2.239693
3.35,2.305553
3.36,2.371410
3.37,2.437267
3.38,2.503122
3.39,2.568976
3.40,2.634829
3.41,2.700680
3.42,2.766529
3.43,2.832377
3.44,2.898224
3.45,2.964069
3.46,3.029912
3.47,3.095754
3.48,3.161594
3.49,3.227433
3.50,3.293269
3.51,3.359104
3.52,3.424937
3.53,3.490768
3.54,3.556597
3.55,3.622425
3.56,3.688250
3.57,3.754073
3.58,3.819895
3.59,3.885714
3.60,3.951531
3.61,4.017346
3.62,4.083158
3.63,4.148969
3.64,4.214777
3.65,4.280583
3.66,4.346387
3.67,4.412188
3.68,4.477987
3.69,4.543784
3.70,4.609578
3.71,4.675369
3.72,4.741158
3.73,4.806944
3.74,4.872728
3.75,4.938509
3.76,5.004287
3.77,5.070063
3.78,5.135836
3.79,5.201606
3.80,5.267373
3.81,5.333138
3.82,5.398899
3.83,5.464658
3.84,5.530413
3.85,5.596166
3.86,5.661915
3.87,5.727662
3.88,5.793405
3.89,5.859145
3.90,5.924882
3.91,5.990616
3.92,6.056346
3.93,6.122074
3.94,6.187797
3.95,6.253518
3.96,6.319235
3.97,6.384949
3.98,6.450659
3.99,6.516365
4.00,6.582068
4.01,6.647768
4.02,6.713464
4.03,6.779156
4.04,6.844844
4.05,6.910529
4.06,6.976210
4.07,7.041888
4.08,7.107561
4.09,7.173230
4.10,7.238896
4.11,7.304558
4.12,7.370215
4.13,7.435869
4.14,7.501519
4.15,7.567164
4.16,7.632806
4.17,7.698443
4.18,7.764076
4.19,7.829705
4.20,7.895329
